ds,yhat,yhat_lower,yhat_upper
2018-01-02,39.463983527748276,34.50919778222849,44.42173521791265
2018-01-03,39.61081445983316,34.75944303988469,44.43258942637038
2018-01-04,39.59451354464855,34.732436620009686,44.54902326661183
2018-01-05,39.45344376258258,34.88807429027418,44.16430647395311
2018-01-08,39.70108906397165,34.78488398090913,44.424147147128316
2018-01-09,40.01518165686563,35.10359324791857,44.615953841360025
2018-01-10,40.20666345673958,35.212237488033374,44.52205579666229
2018-01-11,40.24761919717378,35.496027649301084,44.78163503816197
2018-01-12,40.174095826480595,35.33041027234552,45.33105695297008
2018-01-16,41.05554247856983,36.25684416918571,45.66211940304762
2018-01-17,41.325179098060474,36.4590295939395,46.0275889770758
2018-01-18,41.43799297524292,36.41671505886202,46.28222983629509
2018-01-19,41.42746919931483,36.71868543323612,46.076918915157506
2018-01-22,42.027199835019495,37.245509967650946,47.02604975083185
2018-01-23,42.43045790044657,37.79032492507114,46.88394422734597
2018-01-24,42.69039940979656,37.76425027689661,47.303312569648284
2018-01-25,42.77588430582227,38.2899266713182,47.85021990412738
2018-01-26,42.7203371644032,37.795777706632116,47.40392700199426
2018-01-29,43.08447160059656,38.063721448232414,48.09780075086006
2018-01-30,43.3794884813195,38.640780133711125,48.18646745250433
2018-01-31,43.519067437362,38.80294677095365,48.592993216201705
2018-02-01,43.47410935790757,38.62059339593114,48.16858926159977
2018-02-02,43.28026894541962,38.49822580005943,47.85058361515247
2018-02-05,43.20624879696592,38.41129925849547,48.080192341391864
2018-02-06,43.35545811402979,38.68166146177029,48.447522353547136
2018-02-07,43.35316327505004,38.688578424165975,47.97771094741693
2018-02-08,43.17231636638744,38.14307384337979,47.95449679855895
2018-02-09,42.85039453551517,38.18171843273517,47.56509932047583
2018-02-12,42.452956676854804,37.85613727639395,47.20813472281128
2018-02-13,42.51769623660191,37.57996635145785,47.2029067587614
2018-02-14,42.44328288769994,37.69693790990865,47.488545677545844
2018-02-15,42.2025704832586,37.236154587829375,46.88690755834032
2018-02-16,41.83261793766936,36.982326622213726,46.499128630072214
2018-02-20,41.408255514291014,36.46142840545818,46.197298526314036
2018-02-21,41.32976019219022,36.4759711315598,46.241840848281576
2018-02-22,41.08953868359964,35.726757926030146,45.90691047401315
2018-02-23,40.72309646217209,36.006174078343776,45.5653546862165
2018-02-26,40.25832670920719,34.92252912568828,44.86590675860732
2018-02-27,40.31463302616921,35.4555050536071,45.40790954516466
2018-02-28,40.23486027289225,35.50272200082209,45.18378464897043
2018-03-01,39.98974826483878,35.226418117155184,45.00598220239583
2018-03-02,39.614516932304085,35.02117539579927,44.2884456468172
2018-03-05,39.10158193634471,34.41569151216475,43.7767227778792
2018-03-06,39.136557925540494,34.426743940453875,44.03654582704783
2018-03-07,39.03448681689472,34.46796198235945,44.09060057702487
2018-03-08,38.76745686997376,33.92090914331134,43.48165867159897
2018-03-09,38.372214519083585,33.736232252537576,42.99278394250121
2018-03-12,37.82761715705701,33.45329710941989,42.38835119493934
2018-03-13,37.86732190840768,33.1416901889955,42.88924525976837
2018-03-14,37.780430707574986,33.172854311132674,42.64910517287305
2018-03-15,37.54053925201448,33.01955607353361,42.75700209621841
2018-03-16,37.18570900999287,32.04372386918001,41.77773819923637
2018-03-19,36.85131113537158,32.32383104357597,41.894641288116226
2018-03-20,36.99231488445673,32.07655089955459,41.47303746865887
2018-03-21,37.02227401600664,32.3055992452257,41.71482465213355
2018-03-22,36.91420405545252,31.914902477526628,41.45876051613191
2018-03-23,36.70522386445095,31.899978265070704,41.648214892758794
2018-03-26,36.87799316919147,32.105222473992725,41.60154778970485
2018-03-27,37.20488384132149,32.34250681686627,41.72128247466199
2018-03-28,37.42532744939615,32.651957609952554,42.03813531427395
2018-03-29,37.50976762103604,33.02023578799763,42.32706737675204
2018-04-02,38.209698499553724,33.42660751663956,42.84972004464454
2018-04-03,38.69875552238474,33.823057947295176,43.52520548093416
2018-04-04,39.06764374487284,34.54766161597806,43.6964668101534
2018-04-05,39.28466378617565,34.5692026790679,43.58424852671382
2018-04-06,39.38225202423632,34.3506750277583,44.17943110251963
2018-04-09,40.32319032906131,35.51391603653222,45.34033334210969
2018-04-10,40.84395001885574,36.01601523449221,45.71711785397805
2018-04-11,41.22260473999706,36.3517667925544,46.02753880999681
2018-04-12,41.42773914976256,36.969035310595075,45.98993012929925
2018-04-13,41.49256647798255,36.97260961292282,46.401079132915186
2018-04-16,42.22068302014119,37.50970566955255,46.84561307431494
2018-04-17,42.63758204827939,37.80452255976213,47.31569508891967
2018-04-18,42.89912204632046,38.20614752153975,47.83591176744872
2018-04-19,42.97606099530447,38.217738720435825,47.92448328912402
2018-04-20,42.903883241726426,37.849744911541514,47.70134902441382
2018-04-23,43.19125784450402,38.87944969950382,48.17178632857191
2018-04-24,43.45884959673539,38.770711545006904,48.30475038555325
2018-04-25,43.57339291384582,38.74346994685692,48.32220404871773
2018-04-26,43.507520045634045,38.77923194653269,48.41276134456474
2018-04-27,43.29839317354817,38.46671261782866,48.03285169110729
2018-04-30,43.223503525555785,38.61347206984977,48.09953964589035
2018-05-01,43.38980135593252,38.74400993957721,48.472130301248235
2018-05-02,43.41380514552838,38.36371367480168,47.82861644985579
2018-05-03,43.26840907122259,38.464312645860446,47.8726926318783
2018-05-04,42.99082177596315,38.25516654499264,47.62117158421917
2018-05-07,42.77461676901009,38.083099627225664,47.54380142536168
2018-05-08,42.91365269210492,38.15534060939801,47.661711352070995
2018-05-09,42.91929065367641,37.74998869656142,47.36283503937985
2018-05-10,42.76371098109094,38.47806878038245,47.688145451523525
2018-05-11,42.48338407312399,37.84872611723922,47.247583250053836
2018-05-14,42.296431025872735,37.67899351082268,46.734643397638756
2018-05-15,42.45553022920813,37.758706483702035,47.3747330800093
2018-05-16,42.485470018932794,37.72306670128303,47.31141235099884
2018-05-17,42.358007446275366,37.48709446282688,47.344100832975286
2018-05-18,42.10928268759142,37.361670013318104,46.635397079128104
2018-05-21,42.036107303022945,37.16860586804825,47.163201277881264
2018-05-22,42.16876734833505,37.28450881574539,47.13170171948436
2018-05-23,42.17535253272494,37.17353398409644,47.115609311862414
2018-05-24,42.0277118265099,37.56519335016738,46.822500442516215
2018-05-25,41.762097102753266,36.31606695178739,45.77218942046588
2018-05-29,41.85924907321314,36.95531189782936,46.45235436251015
2018-05-30,41.93693021676011,37.12126922875197,46.889708360838384
2018-05-31,41.86376871556301,37.19033397112791,46.93633895764302
2018-06-01,41.67580211516812,36.778122214097834,46.435368337068866
2018-06-04,41.821191826983714,37.152062137851054,46.30534784894906
2018-06-05,42.10784389003616,37.68298113977042,46.74555930679151
2018-06-06,42.272730495515134,37.55662794133636,47.10196683210779
2018-06-07,42.28687543957154,37.70098226078826,46.96324000584869
2018-06-08,42.1855757108424,36.92834884183343,47.04557533561744
2018-06-11,42.57939444422986,37.73371086578138,47.28472301899904
2018-06-12,42.942439914258635,38.05887485326862,47.63109689421435
2018-06-13,43.17930683165044,38.45307812694952,48.00753467802834
2018-06-14,43.26037796209319,38.36895164528574,47.91123768356729
2018-06-15,43.22038598609218,38.610429949794806,47.98407368412544
2018-06-18,43.76017660097449,39.32460114758091,48.49691079649597
2018-06-19,44.15833938591033,39.62382020942724,49.2423111337947
2018-06-20,44.4233841717567,39.648067511228334,49.17660038339192
2018-06-21,44.5257558201065,39.80301526704746,49.37000696370202
2018-06-22,44.5003512369362,39.86460250026949,49.40184760753135
2018-06-25,45.046592067791,40.471941250650424,49.25051590204528
2018-06-26,45.43580755390527,40.2237523574702,50.42649879112959
2018-06-27,45.68714903611732,41.24760711981426,50.477119175488
2018-06-28,45.771576521545015,41.00084898639855,50.46535518886791
2018-06-29,45.72450561040874,40.69228577717889,50.53987136836013
2018-07-02,46.18834551305336,41.41735812236421,51.279493317865004
2018-07-03,46.54576596700875,41.71342337182277,51.34947122313279
2018-07-05,46.81360152147308,42.104380031631386,51.39899931661387
2018-07-06,46.73091864708837,41.733198891915265,51.50747151680897
2018-07-09,47.08343984450358,42.274606305624346,52.18948519924021
2018-07-10,47.4026185014176,42.414196729220095,52.20213439409171
2018-07-11,47.58193983426835,42.83170962958865,52.16486736161467
2018-07-12,47.5927321507629,43.07853554867968,52.560776833747184
2018-07-13,47.470746475161036,42.291829359562186,52.26594883260117
2018-07-16,47.70545244050508,42.77068196887807,52.4835610157525
2018-07-17,47.98626422198124,43.304796907939135,52.77584211179814
2018-07-18,48.12830742855039,43.48227902040972,52.59728212440324
2018-07-19,48.10342692596875,43.4930650801241,52.76000689478326
2018-07-20,47.947983189625724,43.497332796047395,52.58769785006853
2018-07-23,48.10298330331423,43.37219699849065,53.15139895629186
2018-07-24,48.366924469610204,43.605941158986376,52.76833849404537
2018-07-25,48.49846321866773,44.02518228915634,53.0894441349572
2018-07-26,48.47037360898482,43.986203077538676,53.15047677726861
2018-07-27,48.31991852212437,43.34377664918772,53.096613286294826
2018-07-30,48.547013332002805,43.67114033618757,53.48193596290329
2018-07-31,48.85607848670052,44.23710242711587,53.49582573090055
2018-08-01,49.043895571580094,44.57376557982117,53.62858112896301
2018-08-02,49.083287536573486,44.564744552779786,54.19745144849242
2018-08-03,49.0113172439528,44.399753239098864,53.79002756979929
2018-08-06,49.53374517346589,44.61741801512748,54.22615078179661
2018-08-07,49.95771006348898,44.95409260227088,54.72127503545662
2018-08-08,50.26616877227891,45.49318185757937,54.91151104148238
2018-08-09,50.43003159207414,45.54125344285798,55.09838762290383
