Date,AAPL,META,TSLA
2018-01-02 00:00:00+00:00,40.52434539794922,180.87539672851562,21.368667602539062
2018-01-03 00:00:00+00:00,40.51728820800781,184.1156463623047,21.149999618530273
2018-01-04 00:00:00+00:00,40.705501556396484,183.77667236328125,20.974666595458984
2018-01-05 00:00:00+00:00,41.16892623901367,186.2891082763672,21.10533332824707
2018-01-08 00:00:00+00:00,41.01601791381836,187.71481323242188,22.42733383178711
2018-01-09 00:00:00+00:00,41.01131057739258,187.3060302734375,22.246000289916992
2018-01-10 00:00:00+00:00,41.00190353393555,187.276123046875,22.31999969482422
2018-01-11 00:00:00+00:00,41.234806060791016,187.20635986328125,22.530000686645508
2018-01-12 00:00:00+00:00,41.66061019897461,178.83154296875,22.4146671295166
2018-01-16 00:00:00+00:00,41.448875427246094,177.85450744628906,22.67066764831543
2018-01-17 00:00:00+00:00,42.133460998535156,177.06687927246094,23.143999099731445
2018-01-18 00:00:00+00:00,42.171104431152344,179.26026916503906,22.971332550048828
2018-01-19 00:00:00+00:00,41.9828987121582,180.74578857421875,23.334667205810547
2018-01-22 00:00:00+00:00,41.63943862915039,184.8135528564453,23.437332153320312
2018-01-23 00:00:00+00:00,41.64884567260742,188.78160095214844,23.519332885742188
2018-01-24 00:00:00+00:00,40.98543930053711,185.99000549316406,23.05933380126953
2018-01-25 00:00:00+00:00,40.25381088256836,186.91722106933594,22.50933265686035
2018-01-26 00:00:00+00:00,40.3479118347168,189.4296417236328,22.856666564941406
2018-01-29 00:00:00+00:00,39.512779235839844,185.42172241210938,23.302000045776367
2018-01-30 00:00:00+00:00,39.27987289428711,186.55828857421875,23.05466651916504
2018-01-31 00:00:00+00:00,39.38808822631836,186.32899475097656,23.62066650390625
2018-02-01 00:00:00+00:00,39.470420837402344,192.51036071777344,23.28333282470703
2018-02-02 00:00:00+00:00,37.757781982421875,189.7088165283203,22.916667938232422
2018-02-05 00:00:00+00:00,36.81443405151367,180.71588134765625,22.208667755126953
2018-02-06 00:00:00+00:00,38.352970123291016,184.75372314453125,22.264667510986328
2018-02-07 00:00:00+00:00,37.531951904296875,179.63912963867188,23.0
2018-02-08 00:00:00+00:00,36.49919891357422,171.06494140625,21.01533317565918
2018-02-09 00:00:00+00:00,36.945640563964844,175.5813446044922,20.69466781616211
2018-02-12 00:00:00+00:00,38.43376159667969,175.8804473876953,21.048667907714844
2018-02-13 00:00:00+00:00,38.81877517700195,172.63021850585938,21.577333450317383
2018-02-14 00:00:00+00:00,39.534507751464844,178.9811248779297,21.487333297729492
2018-02-15 00:00:00+00:00,40.86201095581055,179.4197998046875,22.271333694458008
2018-02-16 00:00:00+00:00,40.72972106933594,176.8275909423828,22.365999221801758
2018-02-20 00:00:00+00:00,40.59272766113281,175.4816436767578,22.31800079345703
2018-02-21 00:00:00+00:00,40.40848922729492,177.37594604492188,22.219999313354492
2018-02-22 00:00:00+00:00,40.74626159667969,178.45269775390625,23.077999114990234
2018-02-23 00:00:00+00:00,41.45488357543945,182.7397918701172,23.469999313354492
2018-02-26 00:00:00+00:00,42.274539947509766,184.37486267089844,23.827999114990234
2018-02-27 00:00:00+00:00,42.137550354003906,180.91529846191406,23.39933204650879
2018-02-28 00:00:00+00:00,42.073760986328125,177.78472900390625,22.87066650390625
2018-03-01 00:00:00+00:00,41.336788177490234,175.411865234375,22.062000274658203
2018-03-02 00:00:00+00:00,41.62260437011719,176.08981323242188,22.341333389282227
2018-03-05 00:00:00+00:00,41.766693115234375,179.85845947265625,22.22333335876465
2018-03-06 00:00:00+00:00,41.731258392333984,179.24034118652344,21.8799991607666
2018-03-07 00:00:00+00:00,41.34385681152344,183.15853881835938,22.15333366394043
2018-03-08 00:00:00+00:00,41.7950325012207,181.79263305664062,21.940000534057617
2018-03-09 00:00:00+00:00,42.51311111450195,184.67396545410156,21.81133270263672
2018-03-12 00:00:00+00:00,42.92411804199219,184.2053680419922,23.034000396728516
2018-03-13 00:00:00+00:00,42.51074981689453,181.3340301513672,22.78933334350586
2018-03-14 00:00:00+00:00,42.14935302734375,183.6370849609375,21.775333404541016
2018-03-15 00:00:00+00:00,42.19894790649414,183.30809020996094,21.706666946411133
2018-03-16 00:00:00+00:00,42.050140380859375,184.5343780517578,21.42333221435547
2018-03-19 00:00:00+00:00,41.407657623291016,172.04200744628906,20.90399932861328
2018-03-20 00:00:00+00:00,41.39346694946289,167.64523315429688,20.703332901000977
2018-03-21 00:00:00+00:00,40.45572280883789,168.8815155029297,21.101999282836914
2018-03-22 00:00:00+00:00,39.88410186767578,164.39503479003906,20.606666564941406
2018-03-23 00:00:00+00:00,38.96051025390625,158.91152954101562,20.1026668548584
2018-03-26 00:00:00+00:00,40.810035705566406,159.57952880859375,20.278667449951172
2018-03-27 00:00:00+00:00,39.76362228393555,151.7630615234375,18.61199951171875
2018-03-28 00:00:00+00:00,39.32426452636719,152.5706329345703,17.185333251953125
2018-03-29 00:00:00+00:00,39.631343841552734,159.31031799316406,17.742000579833984
2018-04-02 00:00:00+00:00,39.371517181396484,154.9235382080078,16.832000732421875
2018-04-03 00:00:00+00:00,39.77543258666992,155.64138793945312,17.8353328704834
2018-04-04 00:00:00+00:00,40.53601837158203,154.63442993164062,19.12933349609375
2018-04-05 00:00:00+00:00,40.8171272277832,158.86167907714844,20.381332397460938
2018-04-06 00:00:00+00:00,39.77307891845703,156.7281036376953,19.953332901000977
2018-04-09 00:00:00+00:00,40.16753387451172,157.45591735839844,19.310667037963867
2018-04-10 00:00:00+00:00,40.92340850830078,164.5445556640625,20.31333351135254
