ds,yhat,yhat_lower,yhat_upper
2018-01-02,186.15202814643717,173.72542907930514,198.40076595721916
2018-01-03,185.7285962251104,172.83011361509162,198.48258665718438
2018-01-04,185.3828734606621,171.5213966725848,198.603148720241
2018-01-05,185.01465904777376,171.5084226756854,198.1320973100145
2018-01-08,183.97584074703522,170.93513292128026,197.5935522488763
2018-01-09,184.1517134010814,171.6091860072953,196.63609334857412
2018-01-10,183.9306496334283,170.67691072268573,197.32967904876952
2018-01-11,183.80436904703896,171.3406460150184,197.44325370201426
2018-01-12,183.66835116207181,172.22030972116644,197.77302428252202
2018-01-16,183.76437438572083,169.78522130941428,196.31300752492464
2018-01-17,183.76535358746878,171.02601211059374,196.9382285826871
2018-01-18,183.84432348518416,171.32774474055387,196.66928027411873
2018-01-19,183.8924566727027,171.249421303736,196.95110115749895
2018-01-22,183.96923596138814,170.73823109438536,197.75458273796835
2018-01-23,184.4471448265271,170.0681801915944,196.9523446312395
2018-01-24,184.48241584258395,171.14335439064712,197.7833121725098
2018-01-25,184.56176495115093,171.66214924640855,198.37106220176295
2018-01-26,184.57681814361214,170.62602415315416,198.6513804017856
2018-01-29,184.36882187344813,171.5871205235651,197.0304441268404
2018-01-30,184.69816853105465,170.70585363542358,196.8435671206379
2018-01-31,184.5634409525342,171.34176278481235,198.99720909470068
2018-02-01,184.45514155974212,170.98663847601983,198.78396344161004
2018-02-02,184.2688980566121,170.700666131686,196.6077920589561
2018-02-05,183.41590435836886,170.1113297935152,196.42611218821793
2018-02-06,183.52959677123496,169.78383578265314,196.5830729563039
2018-02-07,183.18476730863782,170.23145919975272,195.53100913892544
2018-02-08,182.8748671577729,169.66129649633712,195.5841089063297
2018-02-09,182.4979840312399,169.50367298968303,196.6312257776208
2018-02-12,181.1551639317484,168.00014160513945,194.21203642264686
2018-02-13,181.13549081849106,167.9554703384671,193.49557004231457
2018-02-14,180.67209669980636,167.59624053708453,194.71980519668503
2018-02-15,180.25754918999067,167.81775332626546,192.27835685390656
2018-02-16,179.7886006010264,166.00162556701972,192.47351608360563
2018-02-20,178.14558748397758,165.0224449625666,190.67748607238445
2018-02-21,177.6229442178596,164.5731517945304,190.65709163049897
2018-02-22,177.1490276490693,163.766544578993,189.3542481157799
2018-02-23,176.61861150133004,163.33251148132774,189.87902181626418
2018-02-26,174.84474832021561,161.537458319525,187.32905950378534
2018-02-27,174.6812061025223,160.61578972683316,188.19988197048292
2018-02-28,174.06989871396917,161.16711665293516,186.25441798265115
2018-03-01,173.5019438475861,160.5385759016233,187.38688436367605
2018-03-02,172.87340467192317,160.1118001082796,186.01329182604758
2018-03-05,170.80133495168678,157.96058767539648,184.07816823376976
2018-03-06,170.5462515769254,156.83292436591967,183.25257069442034
2018-03-07,169.8527835200026,156.78822652749145,182.4188297068513
2018-03-08,169.21566235656167,155.7162208735065,182.41335226714176
2018-03-09,168.5346531450804,154.27857315440986,182.2674024650941
2018-03-12,166.44138736625086,152.9899755064093,180.2721668949341
2018-03-13,166.23555900698182,152.78900329209455,178.91231876015334
2018-03-14,165.62405016516794,152.88570339276657,177.45554567888416
2018-03-15,165.10357379736746,152.6228845645628,177.58537837270947
2018-03-16,164.57527041172946,151.59564431653237,177.53549972832727
2018-03-19,163.16005359117466,151.4285490060422,176.79057748138385
2018-03-20,163.2511451335008,149.40942525925072,176.23307782052726
2018-03-21,162.9689965290138,150.6753957563616,176.1996935297976
2018-03-22,162.80747699448085,150.18322440357565,176.1358132464188
2018-03-23,162.66425883880493,150.27091095575497,176.57100092664817
2018-03-26,162.5186011678544,149.73088900634755,174.73529073621083
2018-03-27,163.05488179861015,150.87769399757482,175.36063786928676
2018-03-28,163.22027581196647,149.0413676193826,176.63508541791506
2018-03-29,163.50334562105851,150.8354900028446,177.15658889628824
2018-04-02,164.86253254742618,150.87716980154462,178.2791214227361
2018-04-03,165.7559137815306,152.9460805024917,179.34625342106457
2018-04-04,166.2491660690267,152.07656216200542,180.45429575345034
2018-04-05,166.82824861821217,152.7709758169612,179.31650709224834
2018-04-06,167.38367982436324,155.24541793217938,181.55647050573089
2018-04-09,169.02476623507803,153.89785496690814,181.76767318100036
2018-04-10,170.0397413008112,157.17021239786442,183.87498068906808
2018-04-11,170.62134346242732,157.5391815335252,182.80802544309097
2018-04-12,171.25746151201233,157.81400627534148,183.78137900140206
2018-04-13,171.84100621308198,159.2848937969777,185.11382891254883
2018-04-16,173.42191066442007,159.36481135946755,187.06046253087644
2018-04-17,174.37934235395687,160.84109893769735,187.37841716404694
2018-04-18,174.89017000091627,161.02896138598086,187.56208424374663
2018-04-19,175.44548439094226,162.69836634640495,188.623901254026
2018-04-20,175.94120374522703,164.06259609819458,188.71777252061372
2018-04-23,177.2421104049957,163.44584308360237,190.3442696612374
2018-04-24,178.10735105339526,165.16646187571519,190.9899233575317
2018-04-25,178.52880717940707,165.6562924783411,191.9310711011577
2018-04-26,178.9982376182713,165.92284223097883,191.51143032840113
2018-04-27,179.41178012040427,166.62430905590298,193.07480880917433
2018-04-30,180.48447494634667,167.76737092885037,192.9702643267511
2018-05-01,181.27672864293115,167.7523793121442,193.66422562540856
2018-05-02,181.62458387250248,168.4214461886421,194.89626142868477
2018-05-03,182.01826925981635,168.5820155883333,195.1468145869559
2018-05-04,182.35234334239016,169.22454981281948,194.6247287418518
2018-05-07,183.14941823558627,170.5390676931391,197.84538268422637
2018-05-08,183.83325907127568,170.36968917114393,196.5032154933791
2018-05-09,184.0630035878584,169.93756287009273,196.18297917387417
2018-05-10,184.32851713232196,170.9347170859543,197.67050650981838
2018-05-11,184.5243755307503,172.38183639922153,197.72877111473966
2018-05-14,184.85272257198574,171.47994202886204,197.91253920504693
2018-05-15,185.36632522479377,171.14866386459101,198.48235502328586
2018-05-16,185.42175345862853,172.14047390538272,198.6049634281924
2018-05-17,185.51108185157477,172.30868739096059,198.7124218474468
2018-05-18,185.5313227827559,172.41624059818986,198.69651550886877
2018-05-21,185.36254268363277,172.11553995126246,198.9024394372813
2018-05-22,185.7292386287711,172.82875019506545,199.029278699146
2018-05-23,185.65139596953102,172.66656561754974,198.36840083991623
2018-05-24,185.62334361202446,172.31369136824236,198.29121035183832
2018-05-25,185.54406021837084,173.1146099853234,199.7167779137378
2018-05-29,185.54868060698766,173.01275308029824,198.62730294898668
2018-05-30,185.47649113608162,172.05593836950877,198.46112815721062
2018-05-31,185.47518559563142,170.7674237220385,198.38454894141373
2018-06-01,185.44270067797396,171.73668244020607,198.79430275843262
2018-06-04,185.34099780803203,173.46337887091673,197.46665776011085
2018-06-05,185.80065919192702,172.90013634401856,198.6131019388263
2018-06-06,185.84710670099895,172.23577995288014,199.20073445462305
2018-06-07,185.97137574160627,173.30237681226808,198.99466617194838
2018-06-08,186.06867094646694,171.98859650660836,199.0585385831058
2018-06-11,186.35526128261827,173.60667725783455,200.3817052979382
2018-06-12,186.93607206228916,174.11887318224407,199.5529756605967
2018-06-13,187.09618190705646,173.61305312742556,200.42187023028217
2018-06-14,187.32508685349458,174.81231973839797,200.26538993302208
2018-06-15,187.51680659121308,174.49718524399074,200.74890928009532
2018-06-18,188.01903771895837,175.49497639847615,201.7481099555935
2018-06-19,188.64881992731276,175.32395935429227,200.8841675527421
2018-06-20,188.84704633875123,175.90060904306537,200.90635112128203
2018-06-21,189.10395099895538,175.48331101834592,202.45545273646425
2018-06-22,189.3144651141727,176.09822594953806,202.13607599363706
2018-06-25,189.82816076470814,177.13688270859964,203.6748238259007
2018-06-26,190.45013739384393,177.61626003766074,203.97704271267136
2018-06-27,190.63613039205126,178.15771166854043,202.2841377676127
2018-06-28,190.87690072397055,177.2317210699592,203.40252165156883
2018-06-29,191.0676299388519,178.50278838227194,203.57585252142314
2018-07-02,191.49771550099007,179.15032914995405,204.33844712711843
2018-07-03,192.0812302153428,178.45865592635843,204.75820950358695
2018-07-05,192.40719235804775,178.89105279270663,205.1990710007976
2018-07-06,192.53194065045906,179.12487320033082,205.21596682816133
2018-07-09,192.6765447154259,180.35725438112175,206.4038943832857
2018-07-10,193.1285475591498,179.25933676739513,206.36825909229748
2018-07-11,193.11572331307914,180.24778784155717,206.93442551709927
2018-07-12,193.12556061381122,180.18458764036046,206.94706252551003
2018-07-13,193.0501447233999,180.01643245423242,205.72290056388206
2018-07-16,192.44561964537775,179.36856066203885,206.15060339572605
2018-07-17,192.60039667165202,179.43201092542208,205.54652144506144
2018-07-18,192.26940828889843,178.64505235742925,206.34389806902658
2018-07-19,191.94298392279978,179.04321201586342,205.8625468502595
2018-07-20,191.5168195944246,179.01971271673645,205.12236522048204
2018-07-23,189.82002761377478,175.92682510458386,202.48815959342315
2018-07-24,189.6161305984526,176.85359855829174,202.7286781523407
2018-07-25,188.93977097191902,174.6140491607437,201.15292492342178
2018-07-26,188.28810201690388,175.17530950517664,201.26116037315518
2018-07-27,187.5637463121492,173.83627210970212,201.22912587984027
2018-07-30,185.2019578384698,171.47784674445003,198.2171945030468
2018-07-31,184.87343691156474,172.62782598833311,197.02845260374053
2018-08-01,184.12966439027343,171.4227940963051,197.46434473794628
